Moneda,Siglas,Precio,Cambio 1 h,Cambio 24 h,Cambio 7 d,Volumen en 24 horas,Cap. de mercado,FDV,Cap merc/FDV,Cluster,Grupo
GMX,GMX,46.36,-0.0,-1.1,-7.9,10607989,415037868,614397965,068,0,0
Huobi,HT,2.58,0.2,0.0,-1.1,9474141,411302526,518752951,079,0,0
Trust Wallet,TWT,0.94,-0.1,0.4,2.4,14407966,392776249,942700933,042,0,0
Conflux,CFX,0.18,0.1,-3.3,3.1,44736018,386508176,973849098,040,0,0
dYdX,DYDX,2.17,0.2,-0.8,4.5,41165133,376793459,2178354126,017,0,0
Compound,COMP,54.42,-0.6,-0.9,-2.6,52378436,373811908,545226417,069,0,0
Gemini Dollar,GUSD,1.0,0.0,-0.0,-0.6,301342,362552541,362552541,100,0,0
Dash,DASH,31.29,-0.0,-1.9,-5.2,27630608,357273894,592427358,060,0,0
Nexus Mutual,NXM,52.3,0.0,-0.2,-0.6,1352053,353480151,353480151,100,0,0
Bone ShibaSwap,BONE,1.4,-11.3,-5.0,-13.6,12556024,349737285,380276590,092,0,0
Arweave,AR,5.32,-0.2,-0.5,0.1,5806777,348424995,351330468,099,0,0
NEXO,NEXO,0.62,-1.6,-1.0,-3.8,1383646,344718527,615568788,056,0,0
Zilliqa,ZIL,0.02,-0.1,-1.3,-1.7,11174640,335289814,417301910,080,0,0
Sei,SEI,0.18,0.0,-10.1,0.0,154354328,332865739,1849254108,018,0,0
WOO Network,WOO,0.19,0.0,-0.9,1.6,9778550,328835618,426903336,077,0,0
APENFT,NFT,0.0,-0.0,-1.8,1.4,15471675,321243541,324450545,099,0,0
Staked Frax Ether,SFRXETH,1935.72,0.1,-0.3,-0.4,6100734,317981034,317979251,100,0,0
PancakeSwap,CAKE,1.48,-0.0,-0.3,-1.6,19737262,317364517,1108931420,029,0,0
Flare,FLR,0.01,-0.3,-1.3,-0.4,3517614,315876298,1495558344,021,0,0
1inch,1INCH,0.3,-0.4,-2.9,-1.7,15051603,311079034,453362685,069,0,0
Basic Attention,BAT,0.21,-0.3,-2.4,-3.6,21836293,307598612,309673238,099,0,0
cUSDC,CUSDC,0.02,0.0,-0.0,0.1,322,301580880,301580880,100,0,0
Liquity USD,LUSD,0.99,0.0,0.0,-0.9,2510592,293127292,293132892,100,0,0
Helium,HNT,1.99,1.4,8.9,-7.4,2536964,285493776,442319042,065,0,0
Enjin Coin,ENJ,0.28,-0.7,-1.6,-2.2,14573892,284172856,284172856,100,0,0
Illuvium,ILV,50.04,-0.1,-4.8,6.3,3865778,284112407,481894037,059,0,0
Gnosis,GNO,109.29,-0.0,-0.1,-1.6,2076024,283057948,327918385,086,0,0
Mask Network,MASK,3.41,-0.5,-1.8,-1.2,23250577,280568916,341688435,082,0,0
MX,MX,2.78,0.2,-1.8,-2.6,305776,277413283,1202648540,023,0,0
Osmosis,OSMO,0.45,-0.3,-0.4,-0.8,7606848,277315711,454053105,061,0,0
OKT Chain,OKT,15.3,0.2,-0.5,0.5,548129,272831790,321023897,085,0,0
Loopring,LRC,0.22,-0.2,-1.9,-5.0,13266375,271492416,299496511,091,0,0
Bitcoin Gold,BTG,15.19,0.4,-0.2,-4.0,3711924,265952943,318889804,083,0,0
Huobi BTC,HBTC,29338.12,0.0,0.0,0.0,0,263148210,263148210,-,0,2
Astar,ASTR,0.06,-0.1,-3.2,10.6,10839675,263118406,471277113,056,0,0
SingularityNET,AGIX,0.21,0.2,-1.9,1.7,28413038,261859450,426754233,061,0,0
Qtum,QTUM,2.49,-0.4,-3.4,-4.2,19830438,261489418,269077896,097,0,0
First Digital USD,FDUSD,1.0,0.0,0.4,0.0,35568880,260435540,260435540,100,0,0
NEM,XEM,0.03,-0.1,-1.4,-1.9,5067917,260061006,260061006,100,0,0
Convex Finance,CVX,3.18,0.4,1.1,-2.2,5872888,252962057,317655696,080,0,0
Chia,XCH,30.97,0.3,0.9,-1.1,6594435,252666012,901000065,028,0,0
Open Exchange Token,OX,0.07,5.9,14.7,4.2,4539767,252264301,658319810,038,0,0
Akash Network,AKT,1.16,-0.0,-2.5,65.6,2932975,252027084,451388926,056,0,0
ECOMI,OMI,0.0,-0.1,29.7,43.7,2266117,251018181,695489805,036,0,0
Celo,CELO,0.49,-0.3,-2.7,-3.9,9632238,247385587,486550248,051,0,0
Theta Fuel,TFUEL,0.04,-0.0,-1.3,-3.3,2098306,244629203,244629539,100,0,0
Zcash,ZEC,29.26,-0.4,-0.9,-1.5,19859133,242040619,614755192,039,0,0
FLOKI,FLOKI,0.0,-0.1,0.7,7.5,26369648,238774948,240101805,099,0,0
Oasis Network,ROSE,0.05,-0.4,-1.6,-0.0,6781810,236851174,470937270,050,0,0
Blur,BLUR,0.28,-0.5,-1.3,-7.5,14692118,235619743,835750236,028,0,0
Escoin,ELG,2.82,-0.1,-0.2,-0.9,470639,228752259,0,-,0,0
Ethereum Name Service,ENS,8.8,-0.4,-2.0,-5.5,7306967,226881284,879956679,026,0,0
Euro Tether,EURT,1.09,-0.1,-0.1,-0.4,1260781,224881506,436665653,051,0,0
Holo,HOT,0.0,-0.2,-2.0,-4.4,6085981,222557109,222557109,100,0,0
Decred,DCR,14.37,0.2,-2.2,-2.2,605543,221450016,301718514,073,0,0
Fetch.ai,FET,0.21,-0.5,-4.7,5.5,36152351,220052644,243152093,090,0,0
STEPN,GMT,0.2,-0.6,-1.8,-3.0,13076060,218791803,1199753918,018,0,0
Worldcoin,WLD,1.72,-0.9,-2.1,-12.0,31234727,216993468,17225646904,001,0,0
Ravencoin,RVN,0.02,-0.5,-1.8,-3.1,4842411,211402556,211399229,100,0,0
Kusama,KSM,23.26,-0.4,-2.1,2.6,12776854,209045562,232787615,090,0,0
Aleph Zero,AZERO,0.88,-0.4,-2.1,-5.5,733021,208970514,297710169,070,0,0
Beldex,BDX,0.04,0.1,-0.1,0.7,3367417,206972967,367747270,056,0,0
Audius,AUDIO,0.19,0.0,-2.6,-4.1,5663207,206147427,219941439,094,0,0
Unibot,UNIBOT,208.01,3.1,13.1,22.8,10733128,203851451,203851451,100,0,0
Golem,GLM,0.2,0.2,-1.2,0.3,6023477,203545041,203545041,100,0,0
yearn.finance,YFI,6124.85,-0.6,-2.1,-5.6,19777383,202497961,224682993,090,0,0
cDAI,CDAI,0.02,0.0,0.3,0.1,169553,200959750,200959750,100,0,0
JUST,JST,0.02,-0.1,-0.6,-1.1,23647234,199553390,221923254,090,0,0
ICON,ICX,0.21,-0.5,-2.5,-3.9,1272740,198946137,201180355,099,0,0
DeFiChain,DFI,0.27,-0.1,-1.2,-5.4,4378264,198693634,323782428,061,0,0
Livepeer,LPT,6.89,0.7,0.7,38.9,81189468,196573886,196573886,100,0,0
eUSD,EUSD,1.04,0.3,1.2,1.0,967035,194582706,194641223,100,0,0
Ankr Network,ANKR,0.02,-0.3,-2.0,-3.3,8253171,192665261,236025525,082,0,0
WEMIX,WEMIX,0.61,0.0,-0.5,1.3,1916155,192481889,596543704,032,0,0
Olympus,OHM,10.65,-0.1,0.3,-0.5,5059856,191136329,284106492,067,0,0
Terra,LUNA,0.54,-0.4,-2.3,-3.6,27187005,190168538,588145528,032,0,0
JasmyCoin,JASMY,0.0,-0.3,-4.5,-0.5,14694970,188617566,194772372,097,0,0
FINSCHIA,FNSA,26.54,-0.0,-1.7,-6.7,191417,187709619,26538943965,001,0,0
Waves,WAVES,1.87,-0.4,-1.3,-2.6,18733959,187503339,187503339,100,0,0
Baby Doge Coin,BABYDOGE,0.0,-0.2,-0.6,-0.4,839012,184700077,496871761,037,0,0
SXP,SXP,0.32,-0.4,-2.8,-2.3,6701316,184316664,184316875,100,0,0
EthereumPoW,ETHW,1.7,-0.2,-0.5,-1.8,4669507,184029450,184029064,100,0,0
BTSE Token,BTSE,1.13,0.0,2.4,-0.3,74465,182646229,225403601,081,0,0
cUSDT,CUSDT,0.02,0.0,-0.0,0.0,43541,179601498,179601498,100,0,0
Ribbon Finance,RBN,0.23,0.2,1.7,7.2,302970,179416596,234019034,077,0,0
Gains Farm,GFARM2,5000.3,0.0,0.0,0.0,0,179180231,179180231,-,0,0
Balancer,BAL,4.15,-0.7,-2.1,-3.7,5484864,176860120,399345340,044,0,0
Siacoin,SC,0.0,-0.2,-0.8,-2.8,2517899,175152836,0,-,0,0
HarryPotterObamaSonic10Inu (ETH),BITCOIN,0.17,3.7,17.3,70.6,14257543,171587956,171622597,100,0,0
Ontology,ONT,0.19,0.1,-2.0,2.5,10226894,170226939,190926662,089,0,0
SafePal,SFP,0.46,0.4,0.3,6.0,4542011,169730864,229495251,074,0,0
Aragon,ANT,4.21,-0.6,-3.9,-2.6,13153672,168578623,189904916,089,0,0
Magic,MAGIC,0.75,-0.0,-2.5,-1.0,20941256,167662443,261983317,064,0,0
Alchemix USD,ALUSD,0.99,0.1,-0.1,0.5,422961,167581993,167581993,100,0,0
IoTeX,IOTX,0.02,-0.3,-1.6,-0.2,2409784,167324906,168228633,099,0,0
tomiNet,TOMI,2.5,-0.1,-3.6,-18.6,15168741,165168694,282069170,059,0,0
Ronin,RON,0.67,-0.3,-1.7,-2.8,1259268,162882509,665249466,024,0,0
WAX,WAXP,0.05,0.0,-1.5,-2.2,1548120,161596168,182452505,089,0,0
Biconomy,BICO,0.25,-1.0,-4.4,8.6,3940489,159071905,254673775,062,0,0
Moonbeam,GLMR,0.22,-1.0,-2.7,-4.5,2581359,158375143,240126314,066,0,0
Marinade staked SOL,MSOL,27.78,-0.4,-0.5,2.2,1222226,157868978,157868978,100,0,0
DAO Maker,DAO,0.82,-0.7,1.5,0.6,515688,156013998,228184902,068,0,0
IOST,IOST,0.01,-0.3,-1.3,-3.9,4114947,155691540,748961349,021,0,0
Merit Circle,MC,0.34,0.5,-2.1,34.7,36712136,154338285,213082702,072,0,0
sETH2,SETH2,1826.25,0.1,-0.1,-0.6,5180448,152205950,152205950,100,0,0
Band Protocol,BAND,1.14,-0.2,-2.9,-8.3,9077070,152057190,157088411,097,0,0
Sushi,SUSHI,0.76,-0.4,-1.8,4.5,24263204,147667350,191488044,077,0,0
Ocean Protocol,OCEAN,0.34,-0.1,-3.5,-0.8,17119810,147462929,479055010,031,0,0
TerraClassicUSD,USTC,0.01,-0.5,1.3,-3.1,10353999,146482407,146563380,100,0,0
Gains Network,GNS,4.72,0.2,-1.7,-8.1,4512366,142823367,142823367,100,0,0
SwissBorg,CHSB,0.15,9.7,8.7,11.0,8142669,141573333,148749827,095,0,0
BORA,BORA,0.14,0.0,-1.0,-2.6,699229,139446285,169194826,082,0,0
Axelar,AXL,0.38,-0.6,-0.3,-1.4,14001805,138963587,416288272,033,0,0
aelf,ELF,0.3,0.0,2.8,6.4,9119504,138248842,263713569,052,0,0
Harmony,ONE,0.01,-0.1,-2.5,-4.5,11746350,138095498,147641418,094,0,0
TomoChain,TOMO,1.42,0.9,1.3,2.9,16159929,137859090,142383414,097,0,0
Krypton DAO,KRD,1.34,-0.0,1.1,-4.7,721740,137368538,13407416839,001,0,0
Bitcoin Avalanche Bridged (BTC.b),BTC.B,29302.5,0.2,-0.2,-1.4,3381838,135990157,135990157,100,0,2
STASIS EURO,EURS,1.09,-0.1,-0.1,-0.1,5462794,135969852,135969852,100,0,0
Amp,AMP,0.0,0.0,-1.7,-1.2,3659846,133350046,236266195,056,0,0
Core,CORE,0.87,-0.0,1.7,0.3,17392746,132940951,1818614213,007,0,0
Wrapped Beacon ETH,WBETH,1862.1,0.1,-0.2,-0.4,410041,132115739,132115739,100,0,0
Tribe,TRIBE,0.29,0.1,-2.2,-0.5,3795809,131405906,288794332,046,0,0
DigiByte,DGB,0.01,-0.6,-2.2,-3.8,2853319,127836999,163344209,078,0,0
Stargate Finance,STG,0.62,-0.2,-2.4,-1.4,16693204,127286999,622891724,020,0,0
SKALE,SKL,0.03,-0.6,-3.3,-5.5,8483116,125996532,188704220,067,0,0
Polymath,POLY,0.14,-0.5,2.1,-3.2,6910784,125672434,139861241,090,0,0
Hive,HIVE,0.34,-0.0,-1.5,-1.7,1457933,125654515,0,-,0,0
Kadena,KDA,0.52,-0.3,-1.6,-1.6,2244951,125145442,515725057,024,0,0
SSV Network,SSV,17.51,0.4,-3.7,-0.1,4969006,124043140,193913822,064,0,0
Bitkub Coin,KUB,1.4,0.1,2.0,2.6,363183,123843922,153323933,081,0,0
Flux,FLUX,0.39,-0.3,-3.1,-1.5,3565823,123835813,172227669,072,0,0
Kyber Network Crystal,KNC,0.67,-0.3,-1.0,2.9,37746703,121646811,168939392,072,0,0
Lisk,LSK,0.83,-0.3,-1.5,-1.7,1335518,120222076,0,-,0,0
UMA,UMA,1.59,-0.3,-2.3,-3.9,4717127,116813221,183048342,064,0,0
ORDI,ORDI,5.54,-0.8,-2.8,-1.3,14111814,116562331,116562331,100,0,0
Horizen,ZEN,8.21,-1.3,-5.7,-7.1,6249013,114958023,172247485,067,0,0
Cartesi,CTSI,0.15,-0.7,-2.8,2.9,4645162,112962252,151923957,074,0,0
LUKSO [OLD],LYXE,7.04,-0.5,-7.2,13.1,253239,109658894,704028555,016,0,0
Energy Web,EWT,2.31,0.4,-4.4,-8.8,847931,109381256,231252150,047,0,0
Open Campus,EDU,0.58,-0.2,-2.8,-2.8,6114315,108483712,578901411,019,0,0
Lido Staked SOL,STSOL,27.63,-0.4,-0.6,2.2,566118,107870945,107870810,100,0,0
Polymesh,POLYX,0.13,0.3,-1.9,-2.9,1746481,106655007,106655007,100,0,0
Everscale,EVER,0.06,-0.2,1.3,4.3,3441260,105627765,122511007,086,0,0
PlayDapp,PLA,0.19,-0.6,-0.7,7.7,10651283,105417377,131741452,080,0,0
Constellation,DAG,0.04,0.2,0.4,-6.3,171780,105314833,129573595,081,0,0
Synapse,SYN,0.55,-0.0,-2.3,-4.1,2300050,105101970,138206532,076,0,0
Blox,CDT,0.16,3.0,-8.5,-21.5,118778,104940126,155563837,067,0,0
Reserve Rights,RSR,0.0,-0.5,-5.7,-1.7,7110147,104780647,207076378,051,0,0
Murasaki,MURA,1.82,-0.0,-2.1,-2.2,596807,104247703,1816162073,006,0,0
Nervos Network,CKB,0.0,-0.4,-6.0,3.1,3272585,103546368,0,-,0,0
NuCypher,NU,0.07,0.1,-0.0,-5.1,197227,102416061,305746748,033,0,0
Centrifuge,CFG,0.28,-0.2,-0.6,-6.7,227113,101146202,125500120,081,0,0
GalleryCoin,GLR,0.42,0.0,-8.7,-7.7,5027059,101061425,838983447,012,0,0
Wrapped Centrifuge,WCFG,0.28,-0.5,-1.3,-7.3,103964,100841841,0,-,0,0
JOE,JOE,0.29,-0.8,-2.5,-6.8,4220720,100735127,147506779,068,0,0
Pundi X,PUNDIX,0.39,-0.0,-1.4,0.5,3741064,100229333,100229333,100,0,0
CoinEx,CET,0.03,-0.9,-1.2,4.0,288119,99772587,335060521,030,0,0
Kujira,KUJI,0.85,-0.6,-3.2,-2.8,280368,98805315,104339202,095,0,0
Status,SNT,0.02,-0.0,-1.3,-4.2,1519579,98259816,168829195,058,0,0
API3,API3,1.13,-0.6,-5.0,5.6,9039766,97939523,142592449,069,0,0
Metars Genesis,MRS,1.55,-0.1,0.0,-1.2,5464832,97467132,1550789696,006,0,0
Shardus,ULT,0.22,0.0,0.4,-12.5,80081,96948031,220558616,044,0,0
MiL.k Alliance,MLK,0.32,0.2,0.6,-1.7,4736708,95852781,412981834,023,0,0
Decentralized Social,DESO,9.04,-0.6,0.6,0.6,118401,95843401,98357171,097,0,0
HXRO,HXRO,0.16,0.0,-0.4,-1.7,735609,94942977,155545895,061,0,0
Function X,FX,0.14,0.0,0.4,-7.9,549949,92009172,272922827,034,0,0
STP,STPT,0.05,-0.6,-3.2,3.2,1293571,91765476,91765476,100,0,0
Ergo,ERG,1.24,-0.2,-1.4,4.0,532341,90345028,121730832,074,0,0
VVS Finance,VVS,0.0,-0.1,-0.5,-3.4,248381,90054892,243611457,037,0,0
Liquity,LQTY,0.96,-0.3,-1.7,-5.6,8314480,89451316,96148129,093,0,0
iExec RLC,RLC,1.23,-0.4,-4.0,-0.0,5683592,89261300,107287103,083,0,0
Telcoin,TEL,0.0,-0.6,-4.5,-6.9,373852,88829352,125674693,071,0,0
e-Radix,EXRD,0.06,-2.6,4.6,11.3,577840,88699400,1407236791,006,0,0
dKargo,DKA,0.03,-0.0,-2.6,-4.3,1227413,87970380,143781607,061,0,0
OriginTrail,TRAC,0.23,-0.5,-3.5,-4.8,989844,87211903,113913591,077,0,0
Agoric,BLD,0.15,0.2,-9.4,29.4,243676,86800320,182836712,047,0,0
Nano,XNO,0.64,-0.5,-1.9,-4.4,858059,85711392,85711392,100,0,0
Radiant Capital,RDNT,0.29,-0.2,-1.3,-2.0,10939874,85623262,287704429,030,0,0
Coin98,C98,0.15,-0.3,-6.2,-7.3,13440023,85430421,154392330,055,0,0
SafeMoon,SFM,0.0,1.0,-9.8,-4.9,1153283,85260425,152598621,056,0,0
BENQI Liquid Staked AVAX,SAVAX,13.36,-0.3,-1.0,-3.6,134006,84968689,84968689,100,0,0
IQ,IQ,0.01,-0.1,-0.6,-2.8,2243702,84873283,108712394,078,0,0
Nym,NYM,0.16,0.3,0.1,-10.7,631137,84393911,159701976,053,0,0
Metal DAO,MTL,1.3,-0.0,-1.3,-0.8,6814929,84074832,86617900,097,0,0
Alchemy Pay,ACH,0.02,-0.6,-2.5,-3.4,5157031,83512585,168927597,049,0,0
Swell Ethereum,SWETH,1884.02,0.1,-0.2,-0.6,300593,83440715,83440715,100,0,0
MVL,MVL,0.0,0.2,-0.3,-1.7,1906064,83146522,106357397,078,0,0
Bitgert,BRISE,0.0,-0.0,-4.3,-9.7,1345334,82793838,209240091,040,0,0
Linear,LINA,0.01,0.1,-0.4,6.1,14300706,82638949,149932420,055,0,0
Stride,STRD,0.95,0.3,2.1,12.3,4333126,82276514,94753789,087,0,0
Decimal,DEL,0.02,-0.5,0.1,9.0,595821,82269195,1612907460,005,0,0
Numeraire,NMR,13.05,-1.5,-1.4,-4.3,3432109,82118867,143700712,057,0,0
DeXe,DEXE,2.24,0.0,-0.8,0.3,1045756,81613894,215785092,038,0,0
Origin Ether,OETH,1839.95,0.2,-0.1,-0.5,1331713,81332730,81332730,100,0,0
Steem,STEEM,0.18,0.2,-1.4,-0.0,1924668,81235220,0,-,0,0
inSure DeFi,SURE,0.0,0.1,71.0,-5.8,553669,80831329,268788352,030,0,0
Orbs,ORBS,0.03,0.1,-1.6,-4.0,1132213,80670814,250726197,032,0,0
Vulcan Forged,PYR,3.38,0.4,0.6,9.0,17200587,80632998,168704515,048,0,0
Secret,SCRT,0.38,-0.8,16.4,13.7,9235403,80348814,0,-,0,0
Access Protocol,ACS,0.0,0.8,17.6,30.7,9414139,79711892,243702667,033,0,0
Medibloc,MED,0.01,-0.0,-0.7,-5.9,791813,79655951,116590220,068,0,0
Stella,ALPHA,0.1,-0.1,-1.1,-3.2,1978532,79652712,99815429,080,0,0
Quiztok,QTCON,0.01,-1.5,42.1,195.3,66102529,79292042,150279896,053,0,0
Radworks,RAD,1.58,-0.1,-2.4,-2.4,5489925,79026701,158595448,050,0,0
QANplatform,QANX,0.03,4.2,4.3,10.6,975916,78929454,116042562,068,0,0
Celer Network,CELR,0.01,-0.5,-2.7,-3.9,2917792,78520710,139086595,056,0,0
Astrafer,ASTRAFER,0.5,-0.3,-0.9,-2.3,708833,78473030,445151066,018,0,0
Kinesis Gold,KAU,61.25,-0.2,-0.3,-1.4,5972866,78065622,0,-,0,0
OMG Network,OMG,0.56,-0.6,-3.4,-3.9,17622796,77954840,77954840,100,0,0
Nerve Finance,NRV,0.0,0.1,0.1,-2.9,1583248,77747624,156256967,-,0,0
Dogelon Mars,ELON,0.0,-0.7,-2.3,-6.6,10880402,77667117,141302868,055,0,0
Kinesis Silver,KAG,22.58,-0.2,-0.3,-1.9,6754408,77074068,0,-,0,0
MaidSafeCoin,EMAID,0.18,0.9,0.3,-0.8,680193,76302113,0,-,0,0
World$tateCoin,W$C,0.08,-0.0,-0.9,-1.6,876575,75552821,81448298,093,0,0
Hermez Network,HEZ,4.51,0.3,-9.4,-1.8,2067861,75201719,85339994,088,0,0
Prom,PROM,4.11,0.1,-0.9,-2.3,1398127,75024516,79135448,095,0,0
StormX,STMX,0.01,-0.2,1.9,2.0,14575118,74857208,85065010,088,0,0
Marlin,POND,0.01,0.3,5.7,9.3,5137205,74384790,91976421,081,0,0
Wrapped NXM,WNXM,31.38,1.4,1.8,-0.0,1081036,74364624,74364624,100,0,0
Syscoin,SYS,0.1,-0.0,-2.0,-2.2,770265,74088361,77150627,096,0,0
RSK Infrastructure Framework,RIF,0.08,-0.1,-2.2,-1.4,413626,73677302,75693784,097,0,0
Bad Idea AI,BAD,0.0,-0.8,-5.3,66.0,7919529,73489339,121486979,060,0,0
My Neighbor Alice,ALICE,0.94,-0.5,-1.9,1.3,18247649,73036871,93843263,078,0,0
Ardor,ARDR,0.07,0.1,-1.0,-1.5,631898,72759955,72759955,100,0,0
Dent,DENT,0.0,0.1,-3.0,-4.7,2253973,72313535,75598312,096,0,0
SmarDex,SDEX,0.01,0.1,-1.2,2.1,833852,72302846,106144944,068,0,0
Wilder World,WILD,0.28,-0.3,-1.1,-1.5,289742,72187064,142039127,051,0,0
SPACE ID,ID,0.25,-0.4,-2.8,-7.2,7900602,72013580,503591470,014,0,0
Ankr Staked ETH,ANKRETH,2070.1,-0.1,-0.2,-0.4,336489,71089815,71089815,100,0,0
VeThor,VTHO,0.0,-0.1,-0.6,0.7,676881,70717151,0,-,0,0
Songbird,SGB,0.01,-0.0,-2.1,-10.3,280376,70531696,105733408,067,0,0
Dock,DOCK,0.02,-0.4,-1.5,2.7,520090,70448413,0,-,0,0
Echelon Prime,PRIME,3.11,0.6,10.3,65.2,3688006,70300858,345311558,020,0,0
Stratis,STRAX,0.46,-0.6,-1.6,-1.6,310782,70261105,0,-,0,0
Share,SHR,0.0,0.1,-3.1,-7.3,4609463,69453171,0,-,0,0
Tokamak Network,TON,1.43,0.0,-0.8,-0.8,652463,69070307,71772104,096,0,0
DODO,DODO,0.11,-1.0,-5.3,-13.4,23058015,68945814,111756008,062,0,0
Civic,CVC,0.09,0.3,-1.7,0.3,1698513,68612141,85551296,080,0,0
ChainX,PCX,0.09,-1.0,-6.9,5.8,322095,68530128,0,-,0,0
Doge Killer,LEASH,574.39,-14.1,0.2,6.8,4927276,68425793,68502575,100,0,0
Power Ledger,POWR,0.16,0.0,-2.1,0.5,3504599,68183560,158672364,043,0,0
Smooth Love Potion,SLP,0.0,-0.5,-1.3,0.7,5155145,67842691,0,-,0,0
XCAD Network,XCAD,1.58,-0.3,1.9,11.9,3682783,67708130,316232592,021,0,0
Hunt,HUNT,0.34,-0.1,-1.4,-1.4,1673995,67625569,67625569,100,0,0
Maverick Protocol,MAV,0.27,-1.6,-6.8,-12.3,4658424,67099654,536797230,013,0,0
Venus,XVS,4.38,0.3,0.6,-1.6,2466814,66676560,131546542,051,0,0
Gitcoin,GTC,1.09,-0.1,-2.9,3.6,16305679,66639977,109491103,061,0,0
Bancor Network,BNT,0.45,-0.4,-4.6,-19.3,1391391,66289453,66289453,100,0,0
VitaDAO,VITA,2.76,1.0,-1.5,-2.4,2059438,65715080,177408500,037,0,0
WINkLink,WIN,0.0,-0.3,0.4,1.8,18911058,65474011,68010814,096,0,0
Hashflow,HFT,0.37,0.9,-4.4,1.8,12665524,65472847,373641285,018,0,0
Verge,XVG,0.0,-0.3,-6.9,-6.9,6122681,65134405,65269071,100,0,0
NKN,NKN,0.1,-0.7,-5.1,-2.1,3908788,64371371,99032878,065,0,0
Metis,METIS,14.77,-0.1,-3.3,-10.9,1660590,64307330,147686228,044,0,0
Celsius Network,CEL,0.15,-1.4,-3.4,-2.9,461554,64225219,105079269,061,0,0
AVINOC,AVINOC,0.38,-0.7,-7.7,-2.3,9942473,64047006,383472379,017,0,0
Chromia,CHR,0.11,-0.7,-5.1,-5.1,6371953,63863978,111592483,057,0,0
Pendle,PENDLE,0.66,-0.2,-8.0,-8.7,13100519,63554232,169419457,038,0,0
QuarkChain,QKC,0.01,-0.0,-1.5,-6.2,833702,63165707,91802637,069,0,0
ConstitutionDAO,PEOPLE,0.01,-1.2,-3.8,-4.5,5051959,62833495,62833495,100,0,0
Clash of Lilliput,COL,0.77,0.1,0.0,-1.4,5558338,62825811,765473896,008,0,0
Stader MaticX,MATICX,0.71,-0.5,-2.9,-4.2,621811,62487651,7057154410,001,0,0
Keep Network,KEEP,0.11,-0.9,-1.4,-2.1,206906,62151629,113061281,055,0,0
Bifrost,BFC,0.04,-0.6,1.3,-0.3,630875,61614682,104758758,059,0,0
Xido Finance,XIDO,2.14,0.0,-0.5,-8.2,1164696,60696338,214365135,028,0,0
Concordium,CCD,0.01,-0.4,-0.4,-2.1,324534,60306473,97303350,062,0,0
Artificial Liquid Intelligence,ALI,0.02,0.2,1.0,-0.7,290102,60140999,167609410,036,0,0
Phala,PHA,0.1,1.1,-8.5,7.4,30074286,60009485,100756275,060,0,0
Yield Guild Games,YGG,0.32,-0.8,-1.3,-8.3,46810963,59654941,322241410,019,0,0
Beta Finance,BETA,0.08,-0.1,-2.0,-2.8,3015137,59036499,83434880,071,0,0
Request,REQ,0.08,-0.9,-1.2,-1.8,897963,59032171,76782541,077,0,0
Gelato,GEL,0.27,0.6,4.0,5.4,133633,58750376,112491542,052,0,0
Arkham,ARKM,0.39,-3.9,-8.9,-8.4,11258534,58360460,389069732,015,0,0
Covalent,CQT,0.1,-0.2,-3.0,-2.2,414904,58047072,95484715,061,0,0
COTI,COTI,0.05,-0.0,-3.9,-5.3,2664289,57627989,94529766,061,0,0
Mobox,MBOX,0.28,-0.3,-2.2,-4.5,1893559,57306318,276693407,021,0,0
Refereum,RFR,0.01,-0.6,-2.5,-3.5,8181130,56162638,57572162,098,0,0
Sun Token,SUN,0.01,0.5,7.3,8.0,26332231,56042919,116619028,048,0,0
REN,REN,0.06,-0.2,-2.9,-6.8,16130679,55934938,55934938,100,0,0
MovieBloc,MBL,0.0,-0.7,0.0,5.7,1640203,55894292,101633954,055,0,0
flexUSD,FLEXUSD,0.28,0.0,0.0,0.0,0,55864344,55864344,-,0,0
CANTO,CANTO,0.11,-0.4,-1.1,-1.5,1380565,55700989,106348764,052,0,0
Spell,SPELL,0.0,-0.5,-3.7,-1.5,5694260,55245424,97474981,057,0,0
UXD Protocol,UXP,0.01,0.2,-4.6,-12.8,2138749,55200964,97501276,057,0,0
World Mobile Token,WMT,0.13,-0.6,0.1,-9.2,437250,55037306,254902644,022,0,0
Mdex (HECO),MDX,0.06,-0.1,-0.5,-0.9,6892752,54973403,61322821,090,0,0
Sweatcoin (Sweat Economy),SWEAT,0.01,0.1,1.0,4.6,585884,54193727,157143050,034,0,0
SX Network,SX,0.11,0.2,0.1,-0.5,259998,54174756,110651054,049,0,0
Euro Coin,EUROC,1.09,-0.0,0.2,-0.1,2344412,54055984,54055984,100,0,0
Dynex,DNX,0.81,0.4,-15.2,-36.4,915809,53816033,80587169,067,0,0
Shentu,CTK,0.58,-0.9,-2.6,2.7,2158008,53711294,71155289,075,0,0
DUSK Network,DUSK,0.13,0.0,-5.3,3.1,13190235,53678666,125530536,043,0,0
Galxe,GAL,1.15,-0.1,-4.6,-5.5,8331878,53462251,229721227,023,0,0
Cyberconnect,CYBER,4.82,-2.0,-31.0,0.0,87746114,53113985,481192105,011,0,0
Marblex,MBX,0.88,0.2,-4.2,9.0,1319388,53006929,877410166,006,0,0
RSS3,RSS3,0.11,-0.0,-2.1,-18.9,2010596,52662572,107639392,049,0,0
Pocket Network,POKT,0.03,-0.5,-0.6,19.6,593833,52633372,55656042,095,0,0
Fidu,FIDU,0.77,0.0,-4.0,-6.7,2378804,52428820,52428820,100,0,0
