#,Moneda,Precio,1 h,24 h,7 d,Volumen en 24 h,Cap. de mercado,FDV,Cap merc/FDV
473,SuperVerse SUPER,"$0,096287953750",-0.7%,-0.2%,5.2%,$21.757.101,$39.168.283,$96.308.592,41
474,KILT Protocol KILT,"$0,314030",-1.3%,-1.9%,-12.0%,"$82.326,60",$39.045.395,$91.355.843,43
475,Orchid Protocol OXT,"$0,065501713269",-0.5%,-7.6%,-3.1%,$15.091.482,$38.849.519,$65.674.693,59
476,Destablecoin HAY HAY,"$0,999771",0.0%,0.0%,0.0%,393.14,$38.670.585,$43.981.080,88
477,Zebec Protocol ZBC,"$0,011529252413",0.1%,9.4%,29.0%,$13.772.864,$38.084.998,$115.322.203,33
478,NvirWorld NVIR,"$0,035495292079",-0.8%,4.3%,56.7%,798.62,$38.003.109,$379.511.294,10
479,Hifi Finance HIFI,"$0,367828",0.5%,0.3%,16.4%,$2.047.474,$37.962.530,$43.913.995,86
480,Kin KIN,"$0,000012525198",-0.7%,-10.2%,-4.1%,485.38,$37.859.293,$37.859.293,100
481,Aura BAL AURABAL,"$11,77",0.1%,0.1%,-1.2%,"$11.204,26",$37.849.533,$37.849.533,100
482,Hifi Finance [OLD] MFT,"$0,003997282213",-,-,-,-,$37.520.700,$39.972.822,-
483,A Hunters Dream CAW,"$0,000000058640",0.1%,-2.1%,-14.8%,$1.056.373,$37.384.796,$39.146.384,96
484,Perpetual Protocol PERP,"$0,513057",-1.4%,-0.7%,-1.9%,$4.123.898,$37.279.807,$77.013.932,48
485,Radio Caca RACA,"$0,000110064126",-0.3%,-0.7%,-5.2%,$2.136.599,$36.985.649,$55.126.013,67
486,HyperCash HC,"$0,062794450631",0.2%,-4.9%,-0.8%,"$43.684,71",$36.981.427,-,-
487,Evmos EVMOS,"$0,067084630942",-2.3%,-3.6%,-5.8%,944.37,$36.895.414,$67.196.714,55
488,Gas GAS,"$2,62",-0.2%,0.1%,-1.5%,$5.302.996,$36.623.396,$262.813.710,14
489,LCX LCX,"$0,046700692677",-0.4%,-0.5%,2.2%,$1.882.566,$36.383.965,$44.597.826,82
490,Electroneum ETN,"$0,002031431681",0.2%,-1.3%,-0.6%,760.11,$36.352.024,$42.590.484,85
491,Uquid Coin UQC,"$3,56",0.0%,0.2%,3.5%,$1.863.649,$35.640.800,$142.563.200,25
492,Star Atlas DAO POLIS,"$0,163722",-2.3%,3.3%,38.1%,296.69,$35.476.630,$58.938.539,60
493,Bean BEAN,"$1,00",0.0%,0.1%,0.0%,"$4.995,22",$35.265.342,$35.265.850,100
494,Mossland MOC,"$0,088186006187",0.0%,-1.7%,1.9%,$1.284.359,$35.151.260,$44.105.608,80
495,Snowbank SB,"$219,81",,-0.1%,-1.0%,"$2.425,17",$35.090.524,$35.090.524,100
496,BitMEX BMEX,"$0,351592",0.0%,-1.7%,2.5%,"$33.774,37",$35.062.400,$158.176.240,22
497,Reef REEF,"$0,001538014515",-0.1%,-3.7%,-2.4%,$9.690.364,$35.032.040,$35.032.040,100
498,Persistence XPRT,"$0,198536",0.1%,0.3%,-14.9%,388.80,$34.962.458,$79.933.692,44
499,Fei USD FEI,"$1,00",0.1%,-0.1%,1.0%,"$20.342,69",$34.874.949,$35.133.894,99
500,Victoria VR VR,"$0,008009599836",-0.2%,-0.5%,-6.6%,455.07,$34.689.595,$134.580.905,26
501,UwU Lend UWU,"$16,35",-,-,-,-,$34.682.471,$261.677.971,-
502,SingularityDAO SDAO,"$0,409666",-0.1%,0.2%,-1.8%,834.73,$34.608.262,$41.009.947,84
503,Chainge Finance CHNG,"$0,080297557288",0.4%,-1.5%,-1.8%,"$78.727,77",$34.594.355,$65.397.644,53
504,Premia PREMIA,"$0,537276",-0.9%,11.1%,6.0%,164.29,$34.048.447,$53.725.447,63
505,Seedify.fund SFUND,"$0,666198",0.5%,-4.4%,-8.1%,$2.324.339,$34.038.232,$66.593.771,51
506,Guild of Guardians GOG,"$0,082946089255",-1.6%,8.7%,15.4%,657.15,$33.690.748,$83.664.366,40
507,Dust Protocol DUST,"$0,959110",-4.6%,-37.2%,-61.0%,$2.239.697,$33.617.746,$33.619.948,100
508,Refinable FINE,"$0,002684572532",-1.6%,-2.4%,0.5%,140.55,$33.475.832,-,-
509,Bluzelle BLZ,"$0,081470388597",0.2%,-14.6%,54.9%,$54.029.696,$33.402.937,$40.747.607,82
510,0x0.ai: AI Smart Contract 0X0,"$0,037417103689",1.0%,-13.2%,15.0%,652.01,$33.352.824,$37.422.524,89
511,Groestlcoin GRS,"$0,401301",-0.2%,-1.1%,11.3%,$7.265.963,$33.329.523,$42.070.246,79
512,Flamingo Finance FLM,"$0,066143722709",-0.7%,-3.2%,-1.6%,$1.557.008,$33.319.657,$33.319.657,100
513,Multichain MULTI,"$1,72",0.0%,-3.3%,-1.5%,$1.468.441,$33.253.978,$171.737.209,19
514,Telos TLOS,"$0,094332306982",-0.1%,1.1%,-1.3%,$1.039.176,$33.251.545,$33.501.251,99
515,Sommelier SOMM,"$0,144342",-1.1%,-13.8%,19.6%,"$99.297,57",$33.169.955,$72.164.877,46
516,Automata ATA,"$0,082509410758",-0.5%,-5.2%,-2.4%,$5.450.095,$33.123.242,$82.572.728,40
517,Bit2Me B2M,"$0,007014465329",0.0%,-2.0%,-2.9%,405.09,$33.052.650,$35.058.784,94
518,AscendEx ASD,"$0,044268534310",-0.4%,-0.3%,-6.1%,$3.418.258,$32.953.080,$32.953.080,100
519,Efinity EFI,"$0,050486646936",0.8%,2.6%,1.5%,892.07,$32.835.380,$100.909.392,33
520,MUX Protocol MCB,"$8,63",0.0%,-1.4%,-16.7%,"$19.400,80",$32.832.113,$41.465.003,79
521,Redacted BTRFLY,"$148,74",0.4%,4.8%,4.8%,237.67,$32.528.992,$96.698.625,34
522,IRISnet IRIS,"$0,021055367773",0.1%,-0.3%,1.0%,$1.098.103,$32.419.395,$41.985.376,77
523,BakerySwap BAKE,"$0,111700",-0.5%,-6.2%,16.7%,$91.245.781,$32.298.661,$31.015.716,104
524,SelfKey KEY,"$0,005374710759",0.2%,-2.6%,-0.2%,$2.813.200,$32.236.633,$32.236.633,100
525,dForce USD USX,"$0,997573",-0.1%,-0.1%,-1.2%,"$26.810,99",$32.210.211,$161.113.987,20
526,Unizen ZCX,"$0,054461900543",0.0%,-2.1%,-5.3%,619.98,$32.103.799,$54.435.051,59
527,Biswap BSW,"$0,085211795770",0.5%,2.3%,-1.0%,$21.858.582,$31.799.263,$59.671.747,53
528,Litentry LIT,"$0,688167",-0.6%,-3.9%,1.5%,$7.211.738,$31.544.483,$68.837.796,46
529,Komodo KMD,"$0,224814",-0.2%,-1.0%,-2.0%,$1.301.920,$31.171.389,$44.970.508,69
530,PLEX PLEX,"$0,091606587218",0.0%,-7.0%,-12.1%,186.40,$31.126.094,$38.002.473,82
531,TokenPocket Token TPT,"$0,009000771309",0.0%,0.5%,-2.0%,"$34.445,26",$31.098.774,$52.930.917,59
532,Oraichain ORAI,"$2,30",-0.1%,-6.4%,7.0%,680.28,$31.076.173,$45.508.845,68
533,PlatON Network LAT,"$0,007365149660",0.1%,-3.9%,-6.8%,794.97,$31.008.796,$75.486.918,41
534,Bounce AUCTION,"$4,74",-0.7%,-4.8%,-10.4%,$3.730.681,$30.841.851,$47.448.855,65
535,Phoenix Global [OLD] PHB,"$0,009080745596",,0.0%,7.5%,"$0,544845",$30.753.451,$30.801.672,100
536,Ethernity Chain ERN,"$1,60",-0.2%,0.9%,1.2%,$1.371.655,$30.701.926,$48.032.531,64
537,Nakamoto Games NAKA,"$0,473344",0.1%,1.9%,-3.7%,$2.148.300,$30.673.769,$84.963.297,36
538,Polkastarter POLS,"$0,308610",-0.1%,-1.7%,-0.7%,$2.044.714,$30.648.547,$30.864.155,99
539,Saitama SAITAMA,"$0,000684206684",-0.1%,-0.1%,-5.6%,421.17,$30.600.624,$68.439.656,45
540,Utrust UTK,"$0,064734448118",-0.6%,-3.8%,-3.1%,$1.295.780,$30.450.939,$32.394.616,94
541,Elastos ELA,"$1,42",-0.1%,-1.1%,6.1%,296.05,$30.406.783,$40.163.994,76
542,MELD MELD,"$0,015948299401",-0.6%,-4.5%,-5.1%,532.71,$30.392.254,$63.797.098,48
543,Taraxa TARA,"$0,007872479834",-3.6%,-12.5%,-13.0%,$2.387.687,$30.375.649,$80.690.495,38
544,Tellor Tributes TRB,"$12,19",0.1%,-2.4%,3.9%,$5.058.753,$30.311.306,$30.497.197,99
545,Verus Coin VRSC,"$0,436226",0.6%,3.6%,-3.5%,"$5.332,00",$30.238.049,$36.425.049,83
546,Unifi Protocol DAO UNFI,"$4,34",-2.3%,4.7%,20.9%,$34.344.693,$30.236.191,$43.927.251,69
547,MOON (Ordinals) MOON,"$0,300452",0.0%,0.0%,1.5%,"$9.686,52",$30.035.128,$30.035.128,100
548,Bolide BLID,"$0,014242936400",0.3%,-20.2%,-14.5%,"$63.509,27",$29.957.881,$142.563.679,21
549,Travala.com AVA,"$0,571339",0.4%,-2.3%,-2.8%,$1.388.586,$29.949.623,$35.067.582,85
550,cBAT CBAT,"$0,004278520182",0.0%,-2.0%,-2.6%,674.79,$29.863.759,$29.863.759,100
551,Tectonic TONIC,"$0,000000129517",-0.2%,-0.5%,-10.2%,"$33.491,22",$29.784.411,$64.792.310,46
552,Forta FORT,"$0,125892",0.4%,-1.1%,-2.2%,551.02,$29.722.498,$126.013.441,24
553,Pluton PLU,"$7,24",-0.4%,-3.2%,-8.8%,414.24,$29.710.138,$144.921.029,21
554,Cortex CTXC,"$0,138343",-0.5%,-2.0%,-2.0%,$4.833.861,$29.651.792,$41.480.043,71
555,Frax Price Index Share FPIS,"$1,44",0.0%,-1.6%,-2.9%,"$0,000000000000",$29.483.203,$143.752.458,21
556,Coinmetro XCM,"$0,097242630274",0.1%,-9.8%,11.0%,"$2.367,72",$29.401.276,$31.977.051,92
557,tBTC TBTC,"$28.128,42",-3.4%,-2.0%,-3.3%,698.35,$29.382.896,$29.369.166,100
558,AhaToken AHT,"$0,007376204850",0.1%,-1.3%,-4.7%,$1.125.577,$29.358.442,$77.393.849,38
559,Router Protocol ROUTE,"$2,34",0.1%,-0.3%,-11.9%,$1.116.528,$29.156.766,$46.730.138,62
560,Altura ALU,"$0,040234436353",-0.9%,-1.7%,-0.6%,278.77,$28.942.788,$39.809.878,73
561,Globiance Exchange GBEX,"$0,000000075901",0.4%,-5.4%,-27.9%,195.75,$28.551.923,$37.731.563,76
562,INSTAR INSTAR,"$0,019682166576",-,-,-,-,$28.520.817,-,-
563,LooksRare LOOKS,"$0,052002226521",-0.2%,-2.7%,-7.6%,$2.022.663,$28.329.630,$51.995.611,54
564,sETH SETH,"$1.839,85",0.1%,0.2%,-0.5%,"$9,92",$28.274.573,$28.274.573,100
565,R R,"$0,987557",0.0%,0.0%,-0.2%,"$45.855,31",$28.225.910,$28.225.910,100
566,Steem Dollars SBD,"$2,28",-0.3%,-0.8%,-1.8%,709.18,$28.190.321,-,-
567,Lybra Finance LBR,"$2,11",-5.2%,-12.0%,84.3%,$4.576.019,$28.170.717,$210.864.596,13
568,Adshares ADS,"$0,720684",-0.4%,-1.1%,-7.3%,266.20,$28.109.744,$28.114.234,100
569,FC Barcelona Fan Token BAR,"$2,68",-0.5%,-1.9%,-2.5%,$2.361.596,$27.944.343,$106.921.579,26
570,Measurable Data MDT,"$0,045752985650",0.1%,0.0%,1.6%,$4.283.415,$27.704.812,$45.693.403,61
571,Phoenix PHB,"$0,632788",0.3%,-4.3%,7.8%,$5.846.183,$27.669.188,$27.669.188,100
572,WAGMI Games WAGMIGAMES,"$0,000015318720",1.4%,-0.6%,-6.3%,513.66,$27.643.301,$33.700.524,82
573,CargoX CXO,"$0,165256",0.0%,-1.0%,-0.5%,"$276,77",$27.625.175,$35.550.940,78
574,Ampleforth Governance FORTH,"$2,90",-0.2%,0.1%,-1.3%,$5.802.912,$27.617.897,$44.403.189,62
575,League of Kingdoms LOKA,"$0,239991",-0.9%,-3.3%,0.3%,$2.392.677,$27.572.628,$43.671.413,63
576,DIA DIA,"$0,248978",-0.5%,-2.4%,-1.1%,$5.582.730,$27.562.824,$49.834.426,55
577,Cudos CUDOS,"$0,004552066301",-1.8%,26.7%,43.1%,$1.100.763,$27.366.845,$45.341.300,60
578,GXChain GXC,"$0,364239",1.4%,17.5%,13.6%,"$18.164,22",$27.316.909,$36.422.546,75
579,BarnBridge BOND,"$2,92",-0.8%,-2.4%,0.4%,$1.865.460,$27.297.488,$29.363.849,93
580,Alpha Quark AQT,"$1,02",-0.3%,-1.3%,1.6%,992.46,$27.234.158,$30.668.193,89
581,Hydranet HDN,"$0,158147",-0.6%,7.6%,63.3%,180.91,$27.223.123,$47.320.468,58
582,BitShares BTS,"$0,010001216493",-0.2%,0.6%,0.7%,924.99,$27.096.312,$35.998.202,75
583,Lyra Finance LYRA,"$0,063515409693",0.0%,-0.9%,4.8%,"$19.713,73",$26.879.179,$63.525.926,42
584,Beefy BIFI,"$335,18",-0.4%,-3.0%,2.1%,207.99,$26.811.815,$26.811.815,100
585,Cornucopias COPI,"$0,034379104520",0.0%,-5.0%,-6.5%,290.91,$26.797.556,$132.026.480,20
586,The Virtua Kolect TVK,"$0,024889416745",-0.2%,-2.3%,-0.9%,$2.863.564,$26.733.916,$29.861.095,90
587,LTO Network LTO,"$0,063761181314",0.0%,-4.6%,-1.9%,$2.585.565,$26.680.556,$31.907.999,84
588,Keep3rV1 KP3R,"$54,14",-0.4%,-0.6%,1.5%,$1.948.428,$26.542.610,$26.542.610,100
589,H2O Dao H2O,"$0,117211",0.0%,-0.1%,-1.4%,175.96,$26.396.714,$117.286.265,23
590,Enzyme MLN,"$18,04",0.0%,0.4%,1.0%,177.42,$26.239.044,$42.766.431,61
591,MAI MIMATIC,"$0,949160",0.0%,-0.1%,-0.1%,325.75,$26.158.407,$289.759.377,9
592,RocketX exchange RVF,"$0,340066",0.2%,0.0%,4.8%,$1.735.502,$26.055.927,$34.012.303,77
593,cUNI CUNI,"$0,127104",,-0.1%,5.1%,818.77,$25.917.603,$25.917.603,100
594,Poollotto.finance PLT,"$1,97",-0.2%,0.4%,-2.2%,142.61,$25.709.925,$37.962.051,68
595,Unidef U,"$0,000149212123",0.0%,-0.1%,4.7%,"$98.481,82",$25.709.613,$147.756.456,17
596,0xBitcoin 0XBTC,"$2,37",-,-,-,-,$25.697.903,$49.799.875,-
597,Dione DIONE,"$0,002708708236",0.1%,9.3%,1.1%,912.07,$25.673.448,$27.070.584,95
598,Dream Machine Token DMT,"$42,50",-2.7%,0.3%,7.7%,$1.523.969,$25.565.038,$42.504.759,60
599,Nexa NEXA,"$0,000007345187",-4.7%,-10.6%,-24.7%,"$43.303,05",$25.353.411,$156.391.287,16
600,Milady Meme Coin LADYS,"$0,000000028480",0.2%,-3.3%,9.8%,$1.868.569,$25.275.481,$25.275.481,100
601,Overnight.fi USD+ USD+,"$0,999644",0.0%,-0.1%,0.1%,$2.835.287,$25.100.841,$24.940.300,101
602,Quickswap QUICK,"$0,047320147077",-0.2%,0.1%,-0.6%,$1.586.678,$25.068.493,$47.299.044,53
603,LeverFi LEVER,"$0,001354088447",0.9%,2.1%,9.1%,$15.837.259,$25.011.601,$47.463.173,53
604,Findora FRA,"$0,002756137569",-1.0%,-6.3%,-0.7%,982.76,$24.925.044,$58.005.509,43
605,Rich Quack QUACK,"$0,000000000567",-0.5%,1.7%,0.5%,140.85,$24.916.771,$56.739.654,44
606,Alchemix ALCX,"$13,04",-1.0%,-1.3%,3.0%,871.58,$24.848.125,$31.259.249,79
607,Ampleforth AMPL,"$1,08",0.0%,0.2%,-3.0%,194.12,$24.679.690,$30.297.057,81
608,Onyxcoin XCN,"$0,000986763884",0.1%,-0.5%,-3.0%,$1.538.368,$24.623.726,$47.734.842,52
609,BENQI QI,"$0,006340587778",0.4%,2.2%,0.7%,588.88,$24.396.928,$45.670.946,53
610,BeNFT Solutions BEAI,"$14,31",-0.4%,6.6%,-17.8%,310.31,$24.308.957,$100.087.120,24
611,Dejitaru Tsuka TSUKA,"$0,024208635559",0.0%,-0.9%,2.7%,166.51,$24.158.275,$24.158.275,100
612,Orion Protocol ORN,"$0,696057",-1.5%,6.2%,4.3%,$5.361.412,$24.072.346,$69.910.534,34
613,HELLO HELLO,"$0,045285356625",-0.3%,3.6%,10.9%,255.21,$24.054.749,$45.274.833,53
614,Sai SAI,"$8,23",-,-,-,-,$23.801.257,$23.801.257,-
615,SpaceN SN,"$0,587966",1.4%,-1.4%,29.0%,"$24.273,18",$23.697.002,$592.276.993,4
616,MELD [OLD] MELD,"$0,015924915307",-1.1%,-3.8%,-3.3%,"$4.379,98",$23.636.207,$63.798.241,37
617,TROY TROY,"$0,002508898060",-0.1%,-0.2%,0.5%,904.68,$23.516.404,$25.084.164,94
618,StakeWise SWISE,"$0,084634411876",-0.4%,-0.3%,-2.7%,"$5.812,08",$23.508.276,$84.648.424,28
619,StrikeX STRX,"$0,029177606967",0.1%,-1.8%,-9.4%,"$37.729,75",$23.439.005,$29.170.286,80
620,DFI.money YFII,"$584,79",-0.6%,-19.6%,-22.3%,$40.944.243,$23.305.025,$23.462.156,99
621,Velas VLX,"$0,009303322384",-0.1%,-1.4%,-2.8%,496.99,$23.137.225,$23.137.225,100
622,Aurora AURORA,"$0,068744614058",-0.4%,-3.1%,0.8%,507.67,$22.989.775,$68.712.090,33
623,Alpaca Finance ALPACA,"$0,152142",1.5%,0.5%,-0.8%,$1.708.449,$22.930.424,$28.550.224,80
624,Hourglass WAIT,"$0,230178",0.2%,2.8%,0.4%,101.39,$22.536.298,$23.005.677,98
625,GuildFi GF,"$0,060293993595",0.5%,-1.1%,4.8%,631.03,$22.532.239,$60.342.274,37
626,Instadapp INST,"$1,25",0.1%,-0.9%,-1.8%,"$64.703,72",$22.413.295,$124.890.550,18
627,REI Network REI,"$0,023188138670",-0.2%,0.9%,1.0%,$4.450.531,$22.350.042,$23.212.809,96
628,Klever KLV,"$0,002474590212",-0.9%,-2.0%,-2.4%,943.79,$22.338.457,$24.747.214,90
629,GHO GHO,"$0,972291",0.1%,-0.7%,-1.1%,$1.793.588,$22.265.696,$22.267.446,100
630,Platypus USD USP,"$0,339044",-,-,-,-,$22.186.336,$22.186.336,-
631,EverGrow Coin EGC,"$0,000000047514",0.1%,-0.3%,-3.5%,"$15.922,44",$22.077.623,$47.494.448,46
632,Clover Finance CLV,"$0,037496338618",-0.4%,-2.2%,0.9%,$3.278.137,$22.007.364,$37.723.369,58
633,Manchester City Fan Token CITY,"$3,41",-0.3%,0.4%,1.1%,$7.553.485,$21.982.881,$68.160.759,32
634,Alpine F1 Team Fan Token ALPINE,"$1,93",-0.6%,-3.3%,-3.6%,895.60,$21.975.770,$77.379.473,28
635,Kishu Inu KISHU,"$0,000000000227",-0.5%,-1.5%,1.1%,154.13,$21.961.951,-,-
636,Sentinel Protocol UPP,"$0,066737682612",0.0%,-2.5%,-3.6%,$3.787.050,$21.904.930,$33.382.129,66
637,ONBUFF ONIT,"$0,028411447358",0.1%,4.2%,-1.0%,$1.139.553,$21.888.532,$22.451.613,97
638,Veno Finance VNO,"$0,104456",0.3%,1.2%,-1.7%,"$39.900,76",$21.721.647,$209.706.989,10
639,Shina Inu SHI,"$0,000001540961",-0.7%,-3.5%,2.8%,249.81,$21.716.526,$30.905.734,70
640,Metahero HERO,"$0,002760080289",0.2%,-4.5%,-4.2%,629.91,$21.689.222,$27.572.635,79
641,Yuan Chain Coin YCC,"$0,004363629599",0.1%,-6.8%,-27.8%,"$6,80",$21.654.932,$43.645.812,50
642,Stader SD,"$0,750533",0.1%,0.1%,-2.2%,889.24,$21.594.005,$112.563.250,19
643,Mog Coin MOG,"$0,000000055300",1.3%,34.7%,145.9%,$3.556.397,$21.566.547,$23.229.708,93
644,Star Atlas ATLAS,"$0,001615743146",-0.3%,2.1%,4.5%,$1.594.078,$21.552.246,$57.966.510,37
645,Sidus SIDUS,"$0,000971688558",-0.3%,-0.8%,1.6%,558.24,$21.409.921,$29.161.733,73
646,Petals PTS,"$0,001510350384",-0.2%,-0.1%,26.5%,"$12.285,13",$21.353.158,$151.173.025,14
647,Goldfinch GFI,"$0,384308",-0.1%,-0.9%,-2.3%,"$68.474,34",$21.328.947,$43.959.643,49
648,MXC MXC,"$0,008668601882",-0.8%,0.9%,3.8%,774.91,$21.290.224,$23.279.845,91
649,Firo FIRO,"$1,67",-0.2%,-1.5%,-1.6%,378.46,$21.191.410,$35.710.908,59
650,Everdome DOME,"$0,000977061103",-0.2%,2.4%,-4.5%,292.11,$21.190.163,$97.526.941,22
651,Crust Network CRU,"$0,825622",0.9%,1.8%,1.7%,684.52,$21.120.421,$23.951.448,88
652,Bonfida FIDA,"$0,207697",0.6%,-2.8%,-3.3%,$3.454.665,$21.069.461,$207.607.290,10
653,Contentos COS,"$0,005057701302",-0.8%,-1.6%,-1.1%,$2.209.304,$21.062.284,$50.208.247,42
654,Dopex DPX,"$79,96",0.2%,-1.5%,-9.2%,434.91,$21.015.335,$39.938.192,53
655,MEVFree MEVFREE,"$0,374176",-0.3%,4.8%,1.8%,318.92,$20.993.778,$37.488.889,56
656,Orca ORCA,"$0,879454",-1.1%,-5.1%,4.0%,118.55,$20.937.678,$88.269.869,24
657,Quantum Resistant Ledger QRL,"$0,274454",8.3%,11.0%,42.1%,"$65.234,25",$20.922.721,$28.372.396,74
658,NuNet NTX,"$0,037411805329",-2.8%,-6.0%,-20.1%,110.50,$20.844.613,$37.442.190,56
659,VEED VEED,"$0,003729993178",-0.7%,4.7%,-8.3%,"$94.343,81",$20.742.986,$372.648.046,6
660,district0x DNT,"$0,027495484752",0.4%,2.4%,1.1%,487.19,$20.701.070,$27.556.539,75
661,Vaiot VAI,"$0,077285241902",0.2%,-4.1%,-1.5%,414.51,$20.632.496,$30.945.030,67
662,Decentral Games DG,"$0,028662363854",-1.6%,-4.4%,-11.2%,135.15,$20.563.740,$28.730.928,72
663,UFO Gaming UFO,"$0,000000797181",-0.3%,-0.4%,-2.0%,"$91.931,58",$20.561.033,$20.561.033,100
664,GPEX GPX,"$0,321093",3.7%,3.5%,17.8%,"$1.380,76",$20.491.001,$320.132.112,6
665,Saito SAITO,"$0,009323450072",-0.6%,-0.8%,-6.0%,"$63.715,80",$20.392.736,$93.609.215,22
666,Tap XTP,"$0,005389581197",0.9%,-0.7%,-11.9%,"$75.413,12",$20.366.084,$53.914.447,38
667,Nuls NULS,"$0,196453",-0.2%,-2.6%,-2.2%,881.31,$20.360.271,$41.267.696,49
668,Yield App YLD,"$0,091825957779",0.2%,-3.6%,0.5%,344.08,$20.354.905,$27.501.038,74
669,Stader ETHx ETHX,"$1.838,36",-,-,-,-,$20.275.934,$20.275.934,-
670,0x Protocol ZRX,"$0,216835",-0.6%,-3.0%,0.0%,$14.439.841,$20.161.807,$260.642.807,8
671,AdEx ADX,"$0,141424",-0.5%,-1.3%,0.5%,$2.175.271,$20.152.713,$21.204.821,95
672,ParaSwap PSP,"$0,026838157746",0.0%,-0.5%,-3.1%,150.27,$20.066.196,$53.704.494,37
673,Manifold Finance FOLD,"$11,95",1.6%,-3.9%,-13.5%,108.97,$19.899.024,$23.905.636,83
674,Mango MNGO,"$0,017196439604",-0.4%,-1.4%,-1.0%,191.43,$19.878.742,$86.282.832,23
675,xExchange MEX,"$0,000005130708",-0.4%,-1.7%,-7.0%,"$20.189,58",$19.865.129,$41.291.983,48
676,JPEG'd JPEG,"$0,000533772124",-0.4%,1.4%,-7.3%,222.82,$19.770.950,$37.037.952,53
677,PAAL AI PAAL,"$0,030768258618",0.4%,3.4%,58.3%,735.00,$19.758.942,$30.354.222,65
678,KardiaChain KAI,"$0,004149755333",0.1%,-3.9%,-4.5%,129.82,$19.751.954,$20.756.572,95
679,RAMP [OLD] RAMP,"$0,047889757130",0.1%,1.5%,12.0%,"$12.853,62",$19.685.293,$47.900.544,41
680,Serum SRM,"$0,052666756225",4.0%,-26.1%,-31.0%,$22.910.033,$19.671.046,$536.177.557,4
681,Thales THALES,"$0,423321",0.2%,-0.6%,-9.2%,143.26,$19.583.366,$42.331.030,46
682,Qredo QRDO,"$0,051848082368",-0.4%,-3.4%,-17.7%,413.10,$19.552.236,$103.625.097,19
683,Bitcicoin BITCI,"$0,002531202113",-0.1%,-0.1%,-0.7%,$1.625.853,$19.448.327,$254.078.689,8
684,HAVAH HVH,"$0,028524286673",0.0%,0.7%,30.9%,423.27,$19.425.559,$285.181.985,7
685,Solend SLND,"$0,541307",1.3%,-9.2%,29.1%,"$64.323,66",$19.380.876,$54.493.147,36
686,Tranchess CHESS,"$0,155070",-0.3%,4.2%,9.0%,$5.618.296,$19.306.131,$46.902.197,41
687,Ternoa CAPS,"$0,014785888893",0.7%,1.2%,-0.4%,600.22,$19.305.847,$36.814.366,52
688,MAP Protocol MAP,"$0,008630396730",-0.4%,-2.6%,-1.2%,173.04,$19.255.885,$86.402.685,22
689,Maro MARO,"$0,022268240646",1.2%,6.7%,2.1%,$1.425.854,$19.248.665,$22.009.134,87
690,Radiant RXD,"$0,002759624060",-1.5%,-7.5%,-26.1%,"$92.672,80",$19.162.057,$57.899.878,33
691,xSUSHI XSUSHI,"$1,04",-0.5%,-1.3%,5.5%,"$39.359,24",$19.115.948,$19.115.948,100
692,BitMart BMX,"$0,108372",0.1%,-0.3%,-1.0%,$1.997.996,$19.089.339,$96.011.741,20
693,Propy PRO,"$0,329712",0.1%,-2.3%,-4.1%,330.58,$19.061.240,$32.922.905,58
694,Origin Dollar OUSD,"$0,997554",0.0%,-0.1%,0.1%,$3.113.640,$18.994.166,$18.994.166,100
695,TOKPIE TKP,"$0,238317",-0.3%,-0.4%,-0.2%,"$56.725,40",$18.908.774,$23.846.458,79
696,Voxies VOXEL,"$0,156338",-1.6%,-1.0%,5.1%,$4.402.639,$18.777.523,$46.921.164,40
697,Stake DAO SDT,"$0,355575",0.1%,-0.1%,4.0%,"$49,77",$18.681.121,$35.563.098,53
698,Interest Compounding ETH Index ICETH,"$1.968,74",0.1%,0.0%,-0.4%,"$76.636,68",$18.652.650,$18.652.650,100
699,BTU Protocol BTU,"$0,232688",0.1%,85.6%,-0.7%,"$19,98",$18.619.087,$23.273.858,80
700,DXdao DXD,"$789,45",10.6%,-0.2%,-0.2%,"$12.627,17",$18.528.504,$117.611.782,16
701,DeRace DERC,"$0,172518",0.1%,-0.4%,-6.9%,251.95,$18.510.821,$20.694.043,89
702,dForce DF,"$0,038801821684",0.3%,4.5%,7.8%,$3.364.555,$18.452.057,$38.757.051,48
703,Dopex Rebate RDPX,"$13,58",0.3%,-2.7%,-4.2%,171.13,$18.450.191,$28.584.975,65
704,Railgun RAIL,"$0,318521",-3.0%,-2.9%,6.0%,"$59.838,97",$18.319.629,$31.860.224,58
705,Talken TALK,"$0,089973260395",-0.3%,-1.6%,-9.0%,"$41.237,35",$18.310.942,$45.068.698,41
706,Fantohm FHM,"$6,23",-0.1%,-28.9%,4.2%,"$7.411,23",$18.308.414,$14.086.132,130
707,RFOX RFOX,"$0,010140544151",-0.5%,-3.5%,-11.7%,443.49,$18.307.972,$20.196.053,91
708,Image Generation AI IMGNAI,"$0,023406087386",-0.3%,6.1%,53.7%,305.21,$18.227.307,$23.452.731,78
709,Advertise Coin ADCO,"$0,404870",0.1%,-0.2%,-0.5%,"$7.209,84",$18.217.027,$20.241.141,90
710,Tokocrypto TKO,"$0,243019",0.0%,-1.3%,-1.3%,$1.875.772,$18.198.226,$121.321.506,15
711,Ethereum Meta ETHM,"$0,000000000018",-,-,-,-,$18.090.558,$18.090.558,-
712,Shiba Predator QOM,"$0,000000030031",-0.3%,0.2%,-9.0%,108.21,$18.063.424,$30.105.707,60
